Sn. No,Report Date,Run Date,Unique Product ID,Brand Name,Category,Product Description,Quantity,City,Pincode,Area,FG Code,SKU ID,Platform,MRP,Selling Price,Stock Availability (Y/N),Discount
1,17-04-2025,17-04-2025,NUVRAA000001,Bikaji,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110015,110015,FG000011,08587af4-792e-435f-8f5a-fba1dbcb637f,Zepto,330,304,No,8
2,17-04-2025,17-04-2025,NUVRAA000002,Bikaji,Bhujia,Bhujia No.1 - 200 Gm*16,,delhi,110015,110015,FG001850,"SNSGD2UHYGGE2YBZ
",Zepto,,,No,
3,17-04-2025,17-04-2025,NUVRAA000003,Bikaji,Bhujia,Bhujia No.1 - 400 Gm*24,,delhi,110015,110015,FG000010,"e2bccb76-89cd-476f-8a01-6345a4cea506
",Zepto,122,113,Yes,7
4,17-04-2025,17-04-2025,NUVRAA000004,Bikaji,Bhujia,Bhujia Ratlami Chatpata(Sp)400G*16,,delhi,110015,110015,FG001538,"46fdd5ea-29bc-4072-a28e-5d24c4d502d7
",Zepto,,,No,
5,17-04-2025,17-04-2025,NUVRAA000014,Bikaji,Namkeen,Chowpati Bhelpuri-300G*12,,delhi,110015,110015,FG000266,"818e37b7-634b-444e-aef5-49128bc2711e
",Zepto,65,65,No,0
6,17-04-2025,17-04-2025,NUVRAA000015,Bikaji,Namkeen,Classic Salted Peanuts 200 Gm*12,,delhi,110015,110015,FG000484,"4dd59ec7-0c45-425b-9633-289c8de56c5e
",Zepto,60,60,No,0
7,17-04-2025,17-04-2025,NUVRAA000016,Bikaji,Namkeen,Falahari Chips 70Gm * 4.2,,delhi,110015,110015,FG004351,"bf7411cc-c4f0-4e6f-a6f7-37504c67a2e9
",Zepto,45,34,No,24
8,17-04-2025,17-04-2025,NUVRAA000017,Bikaji,Namkeen,Falahari Mix.- 200 Gm*12,,delhi,110015,110015,FG000516,"ae93f5f1-cac3-4b17-a2b0-8320c33f658d
",Zepto,80,60,No,25
9,17-04-2025,17-04-2025,NUVRAA000018,Bikaji,Mithai,Gulab Jamun 1.25 Kg*15,,delhi,110015,110015,FG001086,"091fb0a8-2a0a-4382-8feb-6c8c9738ce2d
",Zepto,275,253,No,8
10,17-04-2025,17-04-2025,NUVRAA000019,Bikaji,Mithai,Gulabjamun (Super) 500Gm * 16,,delhi,110015,110015,FG002993,"e175d19e-e302-4cc0-8952-fa6b8db10b18
",Zepto,120,111,No,8
11,17-04-2025,17-04-2025,NUVRAA000023,Bikaji,Namkeen,Kolkatta Chanachur400G* 16,,delhi,110015,110015,FG002107,"0a821899-f849-4a2d-8f39-5aec235b3866
",Zepto,115,106,No,8
12,17-04-2025,17-04-2025,NUVRAA000025,Bikaji,Namkeen,Kuch-Kuch - 200 Gm*16,,delhi,110015,110015,FG000477,"69719244-748d-4c36-b9d5-74d7ee99dcdc
",Zepto,,,No,
13,17-04-2025,17-04-2025,NUVRAA000026,Bikaji,Namkeen,Kuch-Kuch - 400 Gm*16,,delhi,110015,110015,FG000100,"0e8c83f9-d2bc-41f4-8531-c5f5ae9dd2d1
",Zepto,115,106,No,8
14,17-04-2025,17-04-2025,NUVRAA000027,Bikaji,Namkeen,Mastkeen 350G * 10.5,,delhi,110015,110015,FG002325,"1615ce6d-24e7-4217-bb83-15e24a3c44d7
",Zepto,,,No,
15,17-04-2025,17-04-2025,NUVRAA000028,Bikaji,Namkeen,Moong Dal - 400 Gm * 16,,delhi,110015,110015,FG002508,"1d8a80c2-1589-4f75-99aa-281112f96d14
",Zepto,120,114,No,5
16,17-04-2025,17-04-2025,NUVRAA000030,Bikaji,Namkeen,Moong Dal 200 Gm * 12,,delhi,110015,110015,FG004941,"1ebb3ab9-b499-4389-bf05-97340c32822f
",Zepto,,,No,
17,17-04-2025,17-04-2025,NUVRAA000031,Bikaji,Namkeen,NUT CRACKER (CB)*150Gm*9,,delhi,110015,110015,FG005831,"b853b91d-4254-4a6d-ba5c-1238c93c26ec
",Zepto,70,53,No,24
18,17-04-2025,17-04-2025,NUVRAA000032,Bikaji,Namkeen,Papad Baat Cheet-1Kg*20,,delhi,110015,110015,FG000044,"dc3fb32d-0fd1-430c-85c3-39530a09817b
",Zepto,310,286,No,8
19,17-04-2025,17-04-2025,NUVRAA000033,Bikaji,Namkeen,Papad Baat Cheet-400 Gm*20,,delhi,110015,110015,FG000042,"SNSGD2UHZYHE68ZB
",Zepto,,,No,
20,17-04-2025,17-04-2025,NUVRAA000034,Bikaji,Namkeen,Papad Dil Khush-400 Gm*20,,delhi,110015,110015,FG000046,"33d6ecb6-9ca1-4520-b037-c4ec808ab139
",Zepto,,,No,
21,17-04-2025,17-04-2025,NUVRAA000035,Bikaji,Namkeen,PUNJABI TADKA (CB)*150Gm*7.20,,delhi,110015,110015,FG005832,"SNSGD2UZHZ2PTATU
",Zepto,,,No,
22,17-04-2025,17-04-2025,NUVRAA000001,Bikaji,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110015,110015,FG000011,08587af4-792e-435f-8f5a-fba1dbcb637f,Zepto,330,304,No,8
23,17-04-2025,17-04-2025,NUVRAA000037,Bikaji,Mithai,Rasgulla Super 500Gm * 16,,delhi,110015,110015,FG002925,"4d81f9de-4efa-417b-b85b-0cc03139bd4e
",Zepto,100,92,No,8
24,17-04-2025,17-04-2025,NUVRAA000038,Bikaji,Mithai,Rasgulla(Eb)-1.25Kg*15,,delhi,110015,110015,FG001003,"4c4cb729-0ecb-429c-bb89-6a43994ce021
",Zepto,250,230,Yes,8
25,17-04-2025,17-04-2025,NUVRAA000042,Bikaji,Mithai,Soan Papri Mb-200 Gm*10,,delhi,110015,110015,FG000069,"f8b7bcea-4d84-43a8-a9b8-104cef7981ba
",Zepto,62,57,Yes,8
26,17-04-2025,17-04-2025,NUVRAA000043,Bikaji,Mithai,Soan Papri Mb-450 Gm*10.8,,delhi,110015,110015,FG001972,"fa98e63d-61c3-4905-b414-0492e396dc68
",Zepto,135,125,No,7
27,17-04-2025,17-04-2025,NUVRAA000044,Bikaji,Namkeen,Soya Sticks Masala Munch 200Gm * 9.6,,delhi,110015,110015,FG004807,"ee24a095-ddc8-44d8-8ae0-37e8084e90e5
",Zepto,80,60,Yes,25
28,17-04-2025,17-04-2025,NUVRAA000045,Bikaji,Namkeen,Tana Bana - 200 Gm*12,,delhi,110015,110015,FG004890,"SNSGD2UZEAHYPX8X
",Zepto,,,No,
29,17-04-2025,17-04-2025,NUVRAA000048,Bikaji,Bhujia,Tana Tan - 200 Gm*12,,delhi,110015,110015,FG004886,"SNSGD2UZ6FRCHHZZ
",Zepto,,,No,
30,17-04-2025,17-04-2025,NUVRAA000049,Bikaji,Bhujia,Tana Tan - 400 Gm*16,,delhi,110015,110015,FG000039,"f14dd473-d141-4767-bf12-ed0395965b84
",Zepto,115,106,No,8
31,17-04-2025,17-04-2025,NUVRAA000050,Bikaji,Bhujia,Tana Tan 1kg * 12,,delhi,110015,110015,FG004822,"b1965f13-6ddb-429d-b8ea-49821560059c
",Zepto,330,304,No,8
32,17-04-2025,17-04-2025,NUVRAA000001,Haldiram,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110015,110015,FG000011,7a990f81-af0e-442b-bd40-d49f9c22a728,Zepto,290,290,No,0
33,17-04-2025,17-04-2025,NUVRAA000002,Haldiram,Bhujia,Bhujia No.1 - 200 Gm*16,,delhi,110015,110015,FG001850,3cbfea0c-f23f-4101-aa8f-a724cb5f3814,Zepto,60,60,No,0
34,17-04-2025,17-04-2025,NUVRAA000004,Haldiram,Bhujia,Bhujia Ratlami Chatpata(Sp)400G*16,,delhi,110015,110015,FG001538,b9af1cff-5344-4b4d-8cb2-6782d219c880,Zepto,95,95,No,0
35,17-04-2025,17-04-2025,NUVRAA000005,Haldiram,Namkeen,Boondi Plain 150 GM*9.6,,delhi,110015,110015,FG000489,e0a2e039-95a3-4de9-935d-537a6aa60e3d,Zepto,55,55,No,0
36,17-04-2025,17-04-2025,NUVRAA000013,Haldiram,Namkeen,Chowpati Bhelpuri 110 Gm * 6.6,,delhi,110015,110015,FG006188,7d6cce80-01e0-426f-a8e1-d72753129a21,Zepto,70,70,No,0
37,17-04-2025,17-04-2025,NUVRAA000014,Haldiram,Namkeen,Chowpati Bhelpuri-300G*12,,delhi,110015,110015,FG000266,f2780513-d1cf-4a6a-939f-b9c1812dacc3,Zepto,120,120,No,0
38,17-04-2025,17-04-2025,NUVRAA000015,Haldiram,Namkeen,Classic Salted Peanuts 200 Gm*12,,delhi,110015,110015,FG000484,433d67d1-416e-431c-921b-84898116b255,Zepto,55,55,Yes,0
39,17-04-2025,17-04-2025,NUVRAA000018,Haldiram,Mithai,Gulab Jamun 1.25 Kg*15,,delhi,110015,110015,FG001086,b93e6d61-be84-4012-bc00-cf5c12efedc7,Zepto,225,225,Yes,0
40,17-04-2025,17-04-2025,NUVRAA000028,Haldiram,Namkeen,Moong Dal - 400 Gm * 16,,delhi,110015,110015,FG002508,7732e61a-aa6c-4204-b7eb-30252fc64724,Zepto,120,120,Yes,0
41,17-04-2025,17-04-2025,NUVRAA000030,Haldiram,Namkeen,Moong Dal 200 Gm * 12,,delhi,110015,110015,FG004941,ceec0d69-5c5f-46f6-81dc-6e13c947a25f,Zepto,60,60,Yes,0
42,17-04-2025,17-04-2025,NUVRAA000031,Haldiram,Namkeen,NUT CRACKER (CB)*150Gm*9,,delhi,110015,110015,FG005831,a33c25b7-29a8-434e-83ef-8a6fac821af9,Zepto,55,55,No,0
43,17-04-2025,17-04-2025,NUVRAA000038,Haldiram,Mithai,Rasgulla(Eb)-1.25Kg*15,,delhi,110015,110015,FG001003,d8681042-bb3b-4cd6-8071-81dcbf0ec2f9,Zepto,225,225,No,0
44,17-04-2025,17-04-2025,NUVRAA000042,Haldiram,Mithai,Soan Papri Mb-200 Gm*10,,delhi,110015,110015,FG000069,b6d59391-ee25-4c83-ac6d-f0fa02d36d65,Zepto,115,115,Yes,0
45,17-04-2025,17-04-2025,NUVRAA000044,Haldiram,Namkeen,Soya Sticks Masala Munch 200Gm * 9.6,,delhi,110015,110015,FG004807,a478e823-a702-4232-9898-0510a02ce54d,Zepto,45,45,No,0
46,17-04-2025,17-04-2025,NUVRAA000001,Bikano,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110015,110015,FG000011,3b399a42-98eb-42fb-8e5d-faee2919b19e,Zepto,320,320,Yes,0
47,17-04-2025,17-04-2025,NUVRAA000002,Bikano,Bhujia,Bhujia No.1 - 200 Gm*16,,delhi,110015,110015,FG001850,a3df31e0-3d68-4308-969e-296301c30d62,Zepto,60,60,Yes,0
48,17-04-2025,17-04-2025,NUVRAA000015,Bikano,Namkeen,Classic Salted Peanuts 200 Gm*12,,delhi,110015,110015,FG000484,8c853e72-3467-4bc5-8006-f048ddc890c5,Zepto,60,60,Yes,0
49,17-04-2025,17-04-2025,NUVRAA000001,Bikaji,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110020,110020,FG000011,08587af4-792e-435f-8f5a-fba1dbcb637f,Zepto,340,313,No,8
50,17-04-2025,17-04-2025,NUVRAA000002,Bikaji,Bhujia,Bhujia No.1 - 200 Gm*16,,delhi,110020,110020,FG001850,"SNSGD2UHYGGE2YBZ
",Zepto,,,No,
51,17-04-2025,17-04-2025,NUVRAA000003,Bikaji,Bhujia,Bhujia No.1 - 400 Gm*24,,delhi,110020,110020,FG000010,"e2bccb76-89cd-476f-8a01-6345a4cea506
",Zepto,122,113,Yes,7
52,17-04-2025,17-04-2025,NUVRAA000004,Bikaji,Bhujia,Bhujia Ratlami Chatpata(Sp)400G*16,,delhi,110020,110020,FG001538,"46fdd5ea-29bc-4072-a28e-5d24c4d502d7
",Zepto,110,102,No,7
53,17-04-2025,17-04-2025,NUVRAA000014,Bikaji,Namkeen,Chowpati Bhelpuri-300G*12,,delhi,110020,110020,FG000266,"818e37b7-634b-444e-aef5-49128bc2711e
",Zepto,60,60,No,0
54,17-04-2025,17-04-2025,NUVRAA000015,Bikaji,Namkeen,Classic Salted Peanuts 200 Gm*12,,delhi,110020,110020,FG000484,"4dd59ec7-0c45-425b-9633-289c8de56c5e
",Zepto,60,59,No,2
55,17-04-2025,17-04-2025,NUVRAA000016,Bikaji,Namkeen,Falahari Chips 70Gm * 4.2,,delhi,110020,110020,FG004351,"bf7411cc-c4f0-4e6f-a6f7-37504c67a2e9
",Zepto,45,34,No,24
56,17-04-2025,17-04-2025,NUVRAA000017,Bikaji,Namkeen,Falahari Mix.- 200 Gm*12,,delhi,110020,110020,FG000516,"ae93f5f1-cac3-4b17-a2b0-8320c33f658d
",Zepto,80,60,No,25
57,17-04-2025,17-04-2025,NUVRAA000018,Bikaji,Mithai,Gulab Jamun 1.25 Kg*15,,delhi,110020,110020,FG001086,"091fb0a8-2a0a-4382-8feb-6c8c9738ce2d
",Zepto,275,253,Yes,8
58,17-04-2025,17-04-2025,NUVRAA000019,Bikaji,Mithai,Gulabjamun (Super) 500Gm * 16,,delhi,110020,110020,FG002993,"e175d19e-e302-4cc0-8952-fa6b8db10b18
",Zepto,120,111,No,8
59,17-04-2025,17-04-2025,NUVRAA000023,Bikaji,Namkeen,Kolkatta Chanachur400G* 16,,delhi,110020,110020,FG002107,"0a821899-f849-4a2d-8f39-5aec235b3866
",Zepto,115,106,No,8
60,17-04-2025,17-04-2025,NUVRAA000025,Bikaji,Namkeen,Kuch-Kuch - 200 Gm*16,,delhi,110020,110020,FG000477,"69719244-748d-4c36-b9d5-74d7ee99dcdc
",Zepto,,,No,
61,17-04-2025,17-04-2025,NUVRAA000026,Bikaji,Namkeen,Kuch-Kuch - 400 Gm*16,,delhi,110020,110020,FG000100,"0e8c83f9-d2bc-41f4-8531-c5f5ae9dd2d1
",Zepto,120,111,No,8
62,17-04-2025,17-04-2025,NUVRAA000027,Bikaji,Namkeen,Mastkeen 350G * 10.5,,delhi,110020,110020,FG002325,"1615ce6d-24e7-4217-bb83-15e24a3c44d7
",Zepto,120,118,No,2
63,17-04-2025,17-04-2025,NUVRAA000028,Bikaji,Namkeen,Moong Dal - 400 Gm * 16,,delhi,110020,110020,FG002508,"1d8a80c2-1589-4f75-99aa-281112f96d14
",Zepto,120,113,No,6
64,17-04-2025,17-04-2025,NUVRAA000030,Bikaji,Namkeen,Moong Dal 200 Gm * 12,,delhi,110020,110020,FG004941,"1ebb3ab9-b499-4389-bf05-97340c32822f
",Zepto,62,57,Yes,8
65,17-04-2025,17-04-2025,NUVRAA000031,Bikaji,Namkeen,NUT CRACKER (CB)*150Gm*9,,delhi,110020,110020,FG005831,"b853b91d-4254-4a6d-ba5c-1238c93c26ec
",Zepto,70,53,No,24
66,17-04-2025,17-04-2025,NUVRAA000032,Bikaji,Namkeen,Papad Baat Cheet-1Kg*20,,delhi,110020,110020,FG000044,"dc3fb32d-0fd1-430c-85c3-39530a09817b
",Zepto,310,286,No,8
67,17-04-2025,17-04-2025,NUVRAA000033,Bikaji,Namkeen,Papad Baat Cheet-400 Gm*20,,delhi,110020,110020,FG000042,"SNSGD2UHZYHE68ZB
",Zepto,,,No,
68,17-04-2025,17-04-2025,NUVRAA000034,Bikaji,Namkeen,Papad Dil Khush-400 Gm*20,,delhi,110020,110020,FG000046,"33d6ecb6-9ca1-4520-b037-c4ec808ab139
",Zepto,,,No,
69,17-04-2025,17-04-2025,NUVRAA000035,Bikaji,Namkeen,PUNJABI TADKA (CB)*150Gm*7.20,,delhi,110020,110020,FG005832,"SNSGD2UZHZ2PTATU
",Zepto,,,No,
70,17-04-2025,17-04-2025,NUVRAA000001,Bikaji,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110020,110020,FG000011,08587af4-792e-435f-8f5a-fba1dbcb637f,Zepto,340,313,No,8
71,17-04-2025,17-04-2025,NUVRAA000037,Bikaji,Mithai,Rasgulla Super 500Gm * 16,,delhi,110020,110020,FG002925,"4d81f9de-4efa-417b-b85b-0cc03139bd4e
",Zepto,100,92,No,8
72,17-04-2025,17-04-2025,NUVRAA000038,Bikaji,Mithai,Rasgulla(Eb)-1.25Kg*15,,delhi,110020,110020,FG001003,"4c4cb729-0ecb-429c-bb89-6a43994ce021
",Zepto,250,230,Yes,8
73,17-04-2025,17-04-2025,NUVRAA000042,Bikaji,Mithai,Soan Papri Mb-200 Gm*10,,delhi,110020,110020,FG000069,"f8b7bcea-4d84-43a8-a9b8-104cef7981ba
",Zepto,,,No,
74,17-04-2025,17-04-2025,NUVRAA000043,Bikaji,Mithai,Soan Papri Mb-450 Gm*10.8,,delhi,110020,110020,FG001972,"fa98e63d-61c3-4905-b414-0492e396dc68
",Zepto,,,No,
75,17-04-2025,17-04-2025,NUVRAA000044,Bikaji,Namkeen,Soya Sticks Masala Munch 200Gm * 9.6,,delhi,110020,110020,FG004807,"ee24a095-ddc8-44d8-8ae0-37e8084e90e5
",Zepto,80,59,No,26
76,17-04-2025,17-04-2025,NUVRAA000045,Bikaji,Namkeen,Tana Bana - 200 Gm*12,,delhi,110020,110020,FG004890,"SNSGD2UZEAHYPX8X
",Zepto,,,No,
77,17-04-2025,17-04-2025,NUVRAA000048,Bikaji,Bhujia,Tana Tan - 200 Gm*12,,delhi,110020,110020,FG004886,"SNSGD2UZ6FRCHHZZ
",Zepto,,,No,
78,17-04-2025,17-04-2025,NUVRAA000049,Bikaji,Bhujia,Tana Tan - 400 Gm*16,,delhi,110020,110020,FG000039,"f14dd473-d141-4767-bf12-ed0395965b84
",Zepto,110,105,No,5
79,17-04-2025,17-04-2025,NUVRAA000050,Bikaji,Bhujia,Tana Tan 1kg * 12,,delhi,110020,110020,FG004822,"b1965f13-6ddb-429d-b8ea-49821560059c
",Zepto,,,No,
80,17-04-2025,17-04-2025,NUVRAA000001,Haldiram,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110020,110020,FG000011,7a990f81-af0e-442b-bd40-d49f9c22a728,Zepto,290,290,Yes,0
81,17-04-2025,17-04-2025,NUVRAA000002,Haldiram,Bhujia,Bhujia No.1 - 200 Gm*16,,delhi,110020,110020,FG001850,3cbfea0c-f23f-4101-aa8f-a724cb5f3814,Zepto,60,60,No,0
82,17-04-2025,17-04-2025,NUVRAA000004,Haldiram,Bhujia,Bhujia Ratlami Chatpata(Sp)400G*16,,delhi,110020,110020,FG001538,b9af1cff-5344-4b4d-8cb2-6782d219c880,Zepto,95,95,No,0
83,17-04-2025,17-04-2025,NUVRAA000005,Haldiram,Namkeen,Boondi Plain 150 GM*9.6,,delhi,110020,110020,FG000489,e0a2e039-95a3-4de9-935d-537a6aa60e3d,Zepto,,,No,
84,17-04-2025,17-04-2025,NUVRAA000013,Haldiram,Namkeen,Chowpati Bhelpuri 110 Gm * 6.6,,delhi,110020,110020,FG006188,7d6cce80-01e0-426f-a8e1-d72753129a21,Zepto,70,70,No,0
85,17-04-2025,17-04-2025,NUVRAA000014,Haldiram,Namkeen,Chowpati Bhelpuri-300G*12,,delhi,110020,110020,FG000266,f2780513-d1cf-4a6a-939f-b9c1812dacc3,Zepto,120,120,No,0
86,17-04-2025,17-04-2025,NUVRAA000015,Haldiram,Namkeen,Classic Salted Peanuts 200 Gm*12,,delhi,110020,110020,FG000484,433d67d1-416e-431c-921b-84898116b255,Zepto,55,55,Yes,0
87,17-04-2025,17-04-2025,NUVRAA000018,Haldiram,Mithai,Gulab Jamun 1.25 Kg*15,,delhi,110020,110020,FG001086,b93e6d61-be84-4012-bc00-cf5c12efedc7,Zepto,225,225,Yes,0
88,17-04-2025,17-04-2025,NUVRAA000028,Haldiram,Namkeen,Moong Dal - 400 Gm * 16,,delhi,110020,110020,FG002508,7732e61a-aa6c-4204-b7eb-30252fc64724,Zepto,120,120,Yes,0
89,17-04-2025,17-04-2025,NUVRAA000030,Haldiram,Namkeen,Moong Dal 200 Gm * 12,,delhi,110020,110020,FG004941,ceec0d69-5c5f-46f6-81dc-6e13c947a25f,Zepto,60,60,Yes,0
90,17-04-2025,17-04-2025,NUVRAA000031,Haldiram,Namkeen,NUT CRACKER (CB)*150Gm*9,,delhi,110020,110020,FG005831,a33c25b7-29a8-434e-83ef-8a6fac821af9,Zepto,55,55,No,0
91,17-04-2025,17-04-2025,NUVRAA000038,Haldiram,Mithai,Rasgulla(Eb)-1.25Kg*15,,delhi,110020,110020,FG001003,d8681042-bb3b-4cd6-8071-81dcbf0ec2f9,Zepto,225,225,No,0
92,17-04-2025,17-04-2025,NUVRAA000042,Haldiram,Mithai,Soan Papri Mb-200 Gm*10,,delhi,110020,110020,FG000069,b6d59391-ee25-4c83-ac6d-f0fa02d36d65,Zepto,115,115,Yes,0
93,17-04-2025,17-04-2025,NUVRAA000044,Haldiram,Namkeen,Soya Sticks Masala Munch 200Gm * 9.6,,delhi,110020,110020,FG004807,a478e823-a702-4232-9898-0510a02ce54d,Zepto,45,45,No,0
94,17-04-2025,17-04-2025,NUVRAA000001,Bikano,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110020,110020,FG000011,3b399a42-98eb-42fb-8e5d-faee2919b19e,Zepto,320,263,Yes,18
95,17-04-2025,17-04-2025,NUVRAA000002,Bikano,Bhujia,Bhujia No.1 - 200 Gm*16,,delhi,110020,110020,FG001850,a3df31e0-3d68-4308-969e-296301c30d62,Zepto,60,56,Yes,7
96,17-04-2025,17-04-2025,NUVRAA000015,Bikano,Namkeen,Classic Salted Peanuts 200 Gm*12,,delhi,110020,110020,FG000484,8c853e72-3467-4bc5-8006-f048ddc890c5,Zepto,60,58,Yes,3
97,17-04-2025,17-04-2025,NUVRAA000001,Bikaji,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110075,110075,FG000011,08587af4-792e-435f-8f5a-fba1dbcb637f,Zepto,320,295,No,8
98,17-04-2025,17-04-2025,NUVRAA000002,Bikaji,Bhujia,Bhujia No.1 - 200 Gm*16,,delhi,110075,110075,FG001850,"SNSGD2UHYGGE2YBZ
",Zepto,,,No,
99,17-04-2025,17-04-2025,NUVRAA000003,Bikaji,Bhujia,Bhujia No.1 - 400 Gm*24,,delhi,110075,110075,FG000010,"e2bccb76-89cd-476f-8a01-6345a4cea506
",Zepto,122,113,No,7
100,17-04-2025,17-04-2025,NUVRAA000004,Bikaji,Bhujia,Bhujia Ratlami Chatpata(Sp)400G*16,,delhi,110075,110075,FG001538,"46fdd5ea-29bc-4072-a28e-5d24c4d502d7
",Zepto,110,102,No,7
101,17-04-2025,17-04-2025,NUVRAA000014,Bikaji,Namkeen,Chowpati Bhelpuri-300G*12,,delhi,110075,110075,FG000266,"818e37b7-634b-444e-aef5-49128bc2711e
",Zepto,65,65,No,0
102,17-04-2025,17-04-2025,NUVRAA000015,Bikaji,Namkeen,Classic Salted Peanuts 200 Gm*12,,delhi,110075,110075,FG000484,"4dd59ec7-0c45-425b-9633-289c8de56c5e
",Zepto,60,60,No,0
103,17-04-2025,17-04-2025,NUVRAA000016,Bikaji,Namkeen,Falahari Chips 70Gm * 4.2,,delhi,110075,110075,FG004351,"bf7411cc-c4f0-4e6f-a6f7-37504c67a2e9
",Zepto,45,34,No,24
104,17-04-2025,17-04-2025,NUVRAA000017,Bikaji,Namkeen,Falahari Mix.- 200 Gm*12,,delhi,110075,110075,FG000516,"ae93f5f1-cac3-4b17-a2b0-8320c33f658d
",Zepto,80,60,No,25
105,17-04-2025,17-04-2025,NUVRAA000018,Bikaji,Mithai,Gulab Jamun 1.25 Kg*15,,delhi,110075,110075,FG001086,"091fb0a8-2a0a-4382-8feb-6c8c9738ce2d
",Zepto,275,253,Yes,8
106,17-04-2025,17-04-2025,NUVRAA000019,Bikaji,Mithai,Gulabjamun (Super) 500Gm * 16,,delhi,110075,110075,FG002993,"e175d19e-e302-4cc0-8952-fa6b8db10b18
",Zepto,120,111,No,8
107,17-04-2025,17-04-2025,NUVRAA000023,Bikaji,Namkeen,Kolkatta Chanachur400G* 16,,delhi,110075,110075,FG002107,"0a821899-f849-4a2d-8f39-5aec235b3866
",Zepto,115,106,No,8
108,17-04-2025,17-04-2025,NUVRAA000025,Bikaji,Namkeen,Kuch-Kuch - 200 Gm*16,,delhi,110075,110075,FG000477,"69719244-748d-4c36-b9d5-74d7ee99dcdc
",Zepto,,,No,
109,17-04-2025,17-04-2025,NUVRAA000026,Bikaji,Namkeen,Kuch-Kuch - 400 Gm*16,,delhi,110075,110075,FG000100,"0e8c83f9-d2bc-41f4-8531-c5f5ae9dd2d1
",Zepto,115,106,No,8
110,17-04-2025,17-04-2025,NUVRAA000027,Bikaji,Namkeen,Mastkeen 350G * 10.5,,delhi,110075,110075,FG002325,"1615ce6d-24e7-4217-bb83-15e24a3c44d7
",Zepto,120,118,No,2
111,17-04-2025,17-04-2025,NUVRAA000028,Bikaji,Namkeen,Moong Dal - 400 Gm * 16,,delhi,110075,110075,FG002508,"1d8a80c2-1589-4f75-99aa-281112f96d14
",Zepto,120,114,Yes,5
112,17-04-2025,17-04-2025,NUVRAA000030,Bikaji,Namkeen,Moong Dal 200 Gm * 12,,delhi,110075,110075,FG004941,"1ebb3ab9-b499-4389-bf05-97340c32822f
",Zepto,62,61,Yes,2
113,17-04-2025,17-04-2025,NUVRAA000031,Bikaji,Namkeen,NUT CRACKER (CB)*150Gm*9,,delhi,110075,110075,FG005831,"b853b91d-4254-4a6d-ba5c-1238c93c26ec
",Zepto,70,53,No,24
114,17-04-2025,17-04-2025,NUVRAA000032,Bikaji,Namkeen,Papad Baat Cheet-1Kg*20,,delhi,110075,110075,FG000044,"dc3fb32d-0fd1-430c-85c3-39530a09817b
",Zepto,310,286,No,8
115,17-04-2025,17-04-2025,NUVRAA000033,Bikaji,Namkeen,Papad Baat Cheet-400 Gm*20,,delhi,110075,110075,FG000042,"SNSGD2UHZYHE68ZB
",Zepto,,,No,
116,17-04-2025,17-04-2025,NUVRAA000034,Bikaji,Namkeen,Papad Dil Khush-400 Gm*20,,delhi,110075,110075,FG000046,"33d6ecb6-9ca1-4520-b037-c4ec808ab139
",Zepto,,,No,
117,17-04-2025,17-04-2025,NUVRAA000035,Bikaji,Namkeen,PUNJABI TADKA (CB)*150Gm*7.20,,delhi,110075,110075,FG005832,"SNSGD2UZHZ2PTATU
",Zepto,,,No,
118,17-04-2025,17-04-2025,NUVRAA000001,Bikaji,Bhujia,Bhujia No.1 - 1 Kg*24,,delhi,110075,110075,FG000011,08587af4-792e-435f-8f5a-fba1dbcb637f,Zepto,320,295,No,8
119,17-04-2025,17-04-2025,NUVRAA000037,Bikaji,Mithai,Rasgulla Super 500Gm * 16,,delhi,110075,110075,FG002925,"4d81f9de-4efa-417b-b85b-0cc03139bd4e
",Zepto,100,92,No,8
120,17-04-2025,17-04-2025,NUVRAA000038,Bikaji,Mithai,Rasgulla(Eb)-1.25Kg*15,,delhi,110075,110075,FG001003,"4c4cb729-0ecb-429c-bb89-6a43994ce021
",Zepto,250,230,Yes,8
121,17-04-2025,17-04-2025,NUVRAA000042,Bikaji,Mithai,Soan Papri Mb-200 Gm*10,,delhi,110075,110075,FG000069,"f8b7bcea-4d84-43a8-a9b8-104cef7981ba
",Zepto,62,57,Yes,8
122,17-04-2025,17-04-2025,NUVRAA000043,Bikaji,Mithai,Soan Papri Mb-450 Gm*10.8,,delhi,110075,110075,FG001972,"fa98e63d-61c3-4905-b414-0492e396dc68
",Zepto,135,125,No,7
123,17-04-2025,17-04-2025,NUVRAA000044,Bikaji,Namkeen,Soya Sticks Masala Munch 200Gm * 9.6,,delhi,110075,110075,FG004807,"ee24a095-ddc8-44d8-8ae0-37e8084e90e5
",Zepto,80,60,No,25
124,17-04-2025,17-04-2025,NUVRAA000045,Bikaji,Namkeen,Tana Bana - 200 Gm*12,,delhi,110075,110075,FG004890,"SNSGD2UZEAHYPX8X
",Zepto,,,No,
